user_id,created_at,country,device_primary,acquisition_channel,plan
1,2026-01-11 14:47:50,MX,web,paid_search,standard
2,2025-11-21 19:53:42,NG,android,organic,standard
3,2026-01-01 15:25:35,FR,ios,paid_search,standard
4,2025-10-15 21:19:19,IT,web,paid_social,standard
5,2026-01-15 04:30:20,IN,android,paid_social,pro
6,2025-12-11 03:43:12,NL,web,affiliate,standard
7,2025-11-30 23:46:27,FR,web,email,pro
8,2025-10-21 00:37:26,AU,android,paid_social,standard
9,2026-01-11 05:33:30,US,android,organic,standard
10,2025-12-22 18:59:18,TR,web,paid_search,standard
11,2025-12-26 04:47:14,MX,web,organic,standard
12,2025-12-14 13:44:11,PL,android,organic,standard
13,2025-12-14 20:53:25,NG,android,organic,standard
14,2025-12-27 06:03:04,NL,desktop,influencer,pro
15,2026-01-25 08:14:32,HK,web,affiliate,standard
16,2026-01-08 00:18:02,US,web,organic,standard
17,2026-01-12 03:05:48,TR,desktop,influencer,standard
18,2025-10-24 07:38:14,NL,web,email,standard
19,2025-10-03 20:51:33,CA,web,email,standard
20,2025-10-22 14:25:52,US,ios,organic,pro
21,2025-11-22 10:11:59,BR,web,organic,standard
22,2025-10-02 13:32:17,MX,web,organic,pro
23,2025-12-27 16:30:53,AU,web,influencer,standard
24,2026-01-16 10:58:56,ES,desktop,referral,standard
25,2025-10-30 14:03:24,ES,ios,organic,standard
26,2025-11-07 14:07:13,CA,ios,influencer,standard
27,2025-10-02 03:53:59,CA,ios,paid_search,standard
28,2025-12-03 18:50:39,CA,ios,affiliate,standard
29,2025-11-29 13:18:51,ES,android,referral,standard
30,2025-10-21 11:05:25,IN,web,referral,standard
31,2025-11-02 14:10:03,ZA,ios,paid_search,pro
32,2025-12-15 23:16:57,ES,web,paid_search,standard
33,2025-11-27 13:34:57,FR,ios,organic,standard
34,2025-10-22 11:44:47,AU,ios,organic,standard
35,2026-01-16 09:10:12,NL,web,influencer,standard
36,2025-12-28 11:36:23,ES,ios,influencer,standard
37,2025-11-18 23:48:47,AU,android,referral,standard
38,2025-12-30 18:58:35,CA,web,paid_search,standard
39,2025-11-28 23:16:06,DE,web,organic,standard
40,2025-11-11 12:54:51,ES,web,paid_search,standard
41,2025-12-31 16:16:24,NG,ios,referral,standard
42,2025-11-29 03:33:23,MX,ios,organic,standard
43,2025-12-19 13:47:05,CA,android,paid_search,pro
44,2025-10-15 03:48:18,ES,web,paid_search,standard
45,2025-12-01 09:36:00,FR,web,paid_social,standard
46,2025-12-01 04:16:16,JP,ios,affiliate,standard
47,2025-11-16 23:14:14,NL,ios,paid_social,pro
48,2025-12-01 03:38:37,DE,ios,partner,standard
49,2025-11-20 15:39:41,FR,web,paid_search,standard
50,2026-01-16 10:32:36,MX,web,organic,standard
51,2025-11-24 13:33:06,IT,android,organic,standard
52,2026-01-24 18:28:00,DE,web,affiliate,pro
53,2025-12-03 08:48:15,US,web,paid_search,standard
54,2025-10-03 00:25:11,DE,web,paid_search,pro
55,2026-01-09 14:47:13,PL,android,influencer,pro
56,2025-11-20 06:15:02,JP,web,paid_social,standard
57,2025-10-07 13:53:30,NL,web,organic,standard
58,2025-10-21 20:31:45,HK,web,paid_search,pro
59,2025-12-12 12:54:49,TR,web,paid_social,standard
60,2025-11-08 23:12:13,DE,android,organic,standard
61,2025-10-18 22:32:45,HK,android,paid_search,standard
62,2025-10-04 08:52:29,JP,desktop,influencer,standard
63,2025-12-28 18:59:36,US,web,affiliate,standard
64,2025-11-29 22:06:27,MX,web,paid_search,pro
65,2025-10-14 18:41:50,JP,web,organic,pro
66,2026-01-22 21:53:18,NG,web,organic,standard
67,2025-10-09 19:16:47,IT,android,partner,standard
68,2025-12-29 20:30:09,TR,desktop,paid_search,standard
69,2025-11-22 04:47:09,BR,web,partner,pro
70,2025-10-02 07:36:25,NG,web,email,standard
71,2025-12-23 11:42:56,BR,web,paid_search,pro
72,2025-12-31 00:54:20,HK,android,influencer,pro
73,2026-01-19 00:52:25,ZA,ios,organic,standard
74,2025-11-29 02:10:02,ZA,desktop,organic,pro
75,2025-12-10 00:37:43,ZA,ios,organic,standard
76,2025-11-13 07:28:33,IT,android,organic,standard
77,2025-10-08 16:03:08,JP,web,affiliate,standard
78,2025-11-16 02:15:55,NL,desktop,paid_search,standard
79,2025-11-04 00:15:22,NL,ios,organic,pro
80,2025-12-17 20:03:51,ZA,ios,organic,standard
81,2025-12-20 05:44:32,JP,web,paid_social,standard
82,2025-11-05 10:42:06,SG,web,paid_social,standard
83,2025-11-19 12:35:44,ZA,web,partner,standard
84,2026-01-12 05:16:54,JP,web,affiliate,standard
85,2025-10-04 20:22:32,JP,desktop,organic,standard
86,2025-10-02 11:12:04,ZA,android,organic,standard
87,2025-10-06 10:44:58,AU,android,referral,standard
88,2025-11-23 21:26:09,DE,android,organic,standard
89,2026-01-14 06:29:44,AU,ios,partner,standard
90,2025-10-04 00:58:32,JP,web,referral,pro
91,2025-11-23 01:41:06,MX,web,paid_social,standard
92,2026-01-01 08:45:00,ES,android,referral,standard
93,2025-12-02 21:52:23,ZA,web,organic,standard
94,2025-10-18 23:47:22,AE,android,paid_social,standard
95,2025-12-29 22:10:58,BR,ios,paid_search,pro
96,2025-11-13 15:13:20,AU,ios,paid_social,pro
97,2025-11-03 17:32:20,NG,desktop,paid_search,standard
98,2025-12-13 23:35:54,SG,web,paid_search,standard
99,2025-12-01 00:39:47,AU,android,email,pro
100,2026-01-08 15:36:00,FR,android,paid_search,standard
101,2025-10-14 16:27:21,AU,desktop,organic,standard
102,2026-01-03 20:26:07,SG,desktop,organic,standard
103,2025-11-17 00:29:59,IN,web,paid_search,standard
104,2025-10-15 09:52:28,AU,web,paid_social,pro
