deposit_id,deposit_ts,user_id,session_id,amount
1,2026-01-24 20:44:03.738549238,1,2,643.18
2,2026-01-17 06:52:20.492432231,1,4,573.99
3,2026-01-13 15:06:57.634278960,1,5,89.52
4,2026-01-03 14:28:39.907535948,2,9,187.18
5,2025-12-07 00:46:52.352209223,2,10,379.29
6,2026-01-19 16:19:20.171755054,3,14,178.6
7,2026-01-09 17:43:22.453764220,3,16,169.91
8,2025-12-28 20:30:43.508992188,4,18,207.39
9,2025-12-13 07:48:24.829448354,4,19,201.08
10,2026-01-21 06:55:14.360476030,5,30,76.65
11,2026-01-12 22:40:49.538810032,6,36,126.87
12,2026-01-17 19:35:45.164286564,6,40,12.38
13,2025-12-05 20:16:26.071607544,7,43,69.93
14,2025-12-22 05:22:10.011260258,7,44,551.43
15,2025-12-17 18:18:45.563330668,8,49,1369.04
16,2026-01-05 08:15:55.510106048,10,56,207.98
17,2026-01-25 05:02:47.139523826,10,58,159.73
18,2026-01-07 17:57:59.149416540,11,60,313.26
19,2026-01-18 15:03:34.878127287,11,61,229.97
20,2026-01-26 00:07:41.317333841,11,63,110.35
21,2026-01-15 09:33:01.681804079,12,69,35.1
22,2025-12-20 09:28:40.898231720,12,71,247.74
23,2025-12-28 16:26:08.793337600,12,75,302.09
24,2026-01-09 12:21:46.513295457,13,76,312.1
25,2026-01-07 08:55:30.859125622,14,78,205.06
26,2025-12-31 22:46:51.803065107,14,82,468.08
27,2026-01-26 23:09:27.320184814,15,84,75.03
28,2026-01-26 14:54:45.694338802,15,88,96.3
29,2026-01-19 22:48:05.066579061,16,92,401.58
30,2026-01-21 16:00:10.584234250,16,94,417.83
31,2026-01-08 08:33:47.130971578,16,95,66.09
32,2026-01-22 06:07:14.430876366,17,99,122.32
33,2026-01-25 12:38:31.382202221,17,102,540.49
34,2025-12-10 15:56:22.038281726,18,106,220.07
35,2025-11-29 19:05:13.756895445,18,107,801.51
36,2025-12-08 03:26:56.331322895,18,109,246.03
37,2025-12-06 08:33:48.327529682,18,111,180.18
38,2025-11-01 02:02:42.900377566,18,112,247.64
39,2025-12-02 07:51:31.955399345,18,113,524.78
40,2025-12-17 20:47:58.483436026,20,119,94.57
41,2025-12-27 04:55:43.333381187,22,125,69.49
42,2026-01-01 21:10:45.709471400,22,127,63.87
43,2025-12-13 03:41:56.707556388,22,129,972.65
44,2025-12-13 22:19:31.925238956,22,130,181.72
45,2025-12-22 06:58:48.646853697,25,139,122.34
46,2025-11-26 12:24:54.676678668,26,144,339.37
47,2026-01-21 13:04:35.333146182,26,149,253.09
48,2025-12-09 08:51:51.782550007,27,152,347.43
49,2026-01-06 12:47:59.485296536,27,155,166.5
50,2025-12-19 19:15:27.277993497,27,158,85.68
51,2025-12-01 00:34:25.688050058,27,159,247.39
52,2025-11-22 17:41:31.322123014,27,160,989.17
53,2025-12-23 16:32:41.479182707,28,170,34.25
54,2026-01-18 00:48:19.932395758,29,174,80.05
55,2026-01-25 00:58:56.451346572,29,176,54.36
56,2025-12-24 10:25:43.725307795,30,182,90.19
57,2026-01-22 16:00:52.610946408,31,185,127.98
58,2026-01-26 07:24:05.235362904,31,188,176.67
59,2025-12-08 09:42:09.580168516,33,194,184.76
60,2025-12-03 20:21:50.720925987,33,197,157.01
61,2026-01-22 06:24:40.837380700,33,198,286.24
62,2025-12-14 12:26:06.942393547,34,204,84.3
63,2025-11-11 00:24:03.090693234,34,209,463.69
64,2026-01-27 12:54:40.871562914,34,210,105.04
65,2026-01-20 21:49:32.784514939,34,211,749.93
66,2025-11-11 17:59:23.668598880,34,213,264.25
67,2026-01-25 23:43:03.538978799,35,219,56.85
68,2026-01-27 10:41:00.142205972,36,221,522.43
69,2026-01-08 23:16:29.487591511,36,222,722.56
70,2026-01-26 23:15:27.110214986,37,228,150.4
71,2026-01-03 11:28:19.797617939,38,234,112.05
72,2026-01-03 02:29:35.507314646,38,237,172.13
73,2026-01-15 00:11:12.453937518,40,249,96.73
74,2025-12-21 00:56:58.780888380,40,250,161.38
75,2025-12-03 22:38:11.685009869,40,254,219.79
76,2026-01-21 16:17:56.216682761,42,262,262.6
77,2026-01-07 18:58:51.251678307,43,268,126.02
78,2026-01-15 19:09:29.041236994,43,269,291.69
79,2026-01-26 05:14:05.572418918,43,271,142.48
80,2025-11-12 08:30:31.701518310,44,278,96.93
81,2025-11-03 04:29:10.918136634,44,279,588.48
82,2026-01-19 16:01:10.154852625,45,282,799.36
83,2026-01-17 04:30:42.228586496,45,283,315.89
84,2025-12-22 06:46:41.746927092,45,285,203.31
85,2026-01-21 04:27:19.597115425,46,289,169.36
86,2025-11-17 17:58:38.080100554,47,290,356.6
87,2026-01-04 01:42:57.385974921,47,292,99.47
88,2025-12-29 00:50:45.367598681,47,293,116.29
89,2025-11-27 03:21:08.205347619,47,295,410.55
90,2026-01-01 14:58:27.381660520,47,296,130.04
91,2025-12-05 10:11:56.497602543,48,298,654.95
92,2026-01-17 05:11:58.947209472,50,310,62.48
93,2025-12-12 00:05:34.408342778,51,311,82.33
94,2026-01-24 19:37:15.166080848,52,316,98.36
95,2026-01-27 04:12:13.796641086,52,317,267.24
96,2026-01-24 19:39:47.388181253,52,318,178.98
97,2026-01-26 00:03:56.161293595,52,320,81.96
98,2026-01-07 22:26:46.897436118,53,321,96.46
99,2026-01-02 09:04:35.317317561,53,324,64.33
100,2025-12-16 12:59:13.202405705,53,326,104.46
101,2025-11-04 01:30:49.980937728,54,331,36.5
102,2025-12-05 19:12:44.159796019,54,335,65.94
103,2026-01-21 18:31:32.034612174,54,336,523.22
104,2025-10-03 11:28:05.626146060,54,338,79.36
105,2026-01-13 09:26:57.133189802,55,340,254.94
106,2026-01-16 12:22:36.196345961,55,341,139.83
107,2025-11-25 17:26:29.916321606,56,342,44.52
108,2025-12-14 01:59:03.282676132,56,343,152.01
109,2025-12-06 08:12:01.541594446,56,346,634.43
110,2025-11-06 18:34:11.607094288,57,350,24.98
111,2025-11-28 05:31:26.408357689,57,351,328.35
112,2025-11-26 02:12:22.024428472,57,352,659.49
113,2025-10-29 10:05:09.359560346,58,354,205.7
114,2025-10-27 19:16:27.124834996,58,355,427.19
115,2025-12-13 17:33:35.393288220,59,357,110.24
116,2026-01-27 13:44:35.637128660,59,359,268.03
117,2026-01-22 04:44:58.472656832,60,365,88.23
118,2026-01-04 17:07:50.932394708,60,366,58.13
119,2025-12-19 18:34:11.166554456,60,367,108.67
120,2025-12-11 20:51:29.163279423,60,369,224.93
121,2025-12-23 03:40:29.916114866,60,370,1471.28
122,2025-12-15 09:03:11.593698944,62,375,1202.86
123,2026-01-12 04:46:28.586661102,63,383,581.77
124,2026-01-04 09:32:05.294031302,63,385,2074.87
125,2026-01-21 22:17:40.669108350,63,388,177.42
126,2025-12-12 08:58:18.492235358,65,400,344.24
127,2026-01-02 02:31:29.157963394,65,401,574.55
128,2026-01-24 02:35:50.279634350,65,404,203.45
129,2026-01-27 16:46:27.899620501,66,406,194.83
130,2026-01-23 16:09:16.678645305,66,408,78.31
131,2025-12-06 11:14:01.304572778,67,413,80.33
132,2025-10-14 23:12:13.281735906,67,417,87.41
133,2026-01-20 14:14:57.685721193,67,419,202.37
134,2026-01-22 08:17:40.705486854,68,421,85.31
135,2026-01-14 18:50:06.318543225,68,424,101.18
136,2026-01-05 02:46:37.219090080,68,427,199.4
137,2026-01-14 08:48:14.452811565,68,428,80.28
138,2026-01-06 09:22:44.030827968,69,430,164.99
139,2026-01-05 13:55:13.213925104,69,432,34.2
140,2025-12-03 10:53:24.201736432,69,433,30.99
141,2025-12-04 22:17:48.411733465,70,438,405.88
142,2025-10-09 05:04:25.636838104,70,439,48.27
143,2025-12-25 08:35:35.925837603,70,441,102.68
144,2026-01-06 05:23:45.986161652,70,442,456.54
145,2025-10-15 15:55:24.567124103,70,446,294.02
146,2026-01-23 07:05:20.018349709,71,447,224.83
147,2025-12-30 19:14:45.849483084,71,449,321.95
148,2025-12-31 13:21:13.891249621,71,451,122.57
149,2026-01-07 18:52:18.558745101,71,452,229.73
150,2025-12-26 11:39:23.898185182,71,454,77.26
151,2026-01-25 12:38:34.357522006,72,456,449.89
152,2026-01-06 10:31:38.516029468,72,458,458.15
153,2026-01-12 15:51:01.108118994,72,459,660.06
154,2026-01-20 14:34:27.833414496,73,465,61.6
155,2026-01-23 18:31:17.930949814,73,472,42.39
156,2026-01-17 22:33:00.532700850,74,473,72.01
157,2025-12-16 18:32:40.395208046,75,479,66.62
158,2025-11-30 15:01:28.466617863,76,487,436.6
159,2026-01-17 06:49:20.185351462,76,489,219.7
160,2025-12-01 07:20:41.971655148,76,490,1904.29
161,2025-10-09 08:04:15.614061218,77,495,23.85
162,2025-12-01 10:41:55.214947572,79,503,48.45
163,2025-11-27 22:20:16.310105638,79,506,85.99
164,2025-12-10 09:50:52.975305598,79,511,367.67
165,2025-12-18 23:06:37.708323498,80,512,296.01
166,2026-01-18 11:07:20.869890298,80,513,250.62
167,2026-01-25 19:44:30.409969666,80,517,193.08
168,2026-01-01 20:18:30.607925302,81,518,140.8
169,2026-01-06 19:30:31.036171233,82,527,243.84
170,2025-12-05 07:15:50.281930228,82,531,945.47
171,2025-11-22 05:47:16.282818476,85,537,172.7
172,2025-11-21 19:58:46.604668171,86,542,93.57
173,2025-12-21 19:15:12.048111961,86,546,1166.34
174,2026-01-04 22:14:36.595701551,86,547,41.16
175,2025-11-17 05:03:02.858459469,86,548,346.15
176,2026-01-21 23:42:12.166662218,87,549,153.56
177,2025-12-31 14:04:56.464308734,88,556,67.96
178,2026-01-24 12:05:27.947779457,88,557,110.9
179,2025-12-27 13:59:02.500031339,88,561,39.88
180,2026-01-24 13:02:50.725691137,89,562,123.85
181,2025-11-16 19:33:42.824782585,90,574,1028.91
182,2026-01-08 11:41:10.743884975,90,576,35.06
183,2026-01-21 21:21:03.430372511,91,578,234.74
184,2025-12-16 01:03:58.489190389,93,587,776.39
185,2026-01-03 04:32:58.267849016,94,588,150.23
186,2025-11-14 03:43:36.328617958,94,590,62.14
187,2026-01-23 23:15:56.651761441,96,594,352.8
188,2025-11-16 03:42:40.721561921,96,596,62.02
189,2026-01-27 20:21:15.087969435,97,600,46.55
190,2025-12-25 02:21:47.659413825,99,608,483.5
191,2026-01-09 22:10:16.173497259,99,609,78.31
192,2026-01-10 16:06:47.798105828,100,614,372.44
193,2026-01-05 02:45:34.576205544,101,621,521.87
194,2025-12-16 19:12:19.288347773,101,623,37.66
195,2026-01-19 12:45:44.011143505,102,626,161.01
196,2026-01-07 03:47:06.386798126,102,629,62.43
197,2025-11-23 18:26:30.465101062,103,630,83.71
198,2025-11-21 11:40:19.997464858,103,632,54.38
199,2026-01-19 04:56:46.681929435,103,637,97.68
200,2026-01-15 22:51:08.627956103,104,641,399.77
201,2026-01-06 05:44:05.365857117,105,646,235.19
202,2026-01-18 19:36:33.941688071,107,656,175.19
203,2026-01-04 15:17:05.372355544,107,657,256.11
204,2026-01-02 20:47:58.524361253,107,662,672.96
205,2026-01-03 09:37:52.807984410,108,664,531.85
206,2026-01-08 20:55:52.198768124,108,667,110.05
207,2026-01-17 20:47:02.733128505,109,668,229.32
208,2025-12-17 07:59:40.886226656,109,669,190.38
209,2026-01-27 03:42:13.375353255,110,674,54.32
210,2026-01-16 23:14:42.744334701,110,675,360.01
211,2026-01-05 14:46:56.314586534,111,680,171.72
212,2026-01-11 03:49:34.693652575,111,684,32.22
213,2025-12-26 22:45:59.396725008,111,685,425.16
214,2026-01-24 16:26:11.236811556,112,686,115.82
215,2025-12-25 08:47:33.625042414,113,693,640.2
216,2025-12-27 03:43:41.033863159,113,697,895.14
217,2025-12-26 00:05:31.844637124,113,699,29.97
218,2026-01-19 18:13:31.893269698,114,703,173.65
219,2026-01-28 21:36:45.823802007,114,704,227.02
220,2026-01-23 08:30:19.506652387,114,706,198.1
221,2025-12-14 20:50:12.807769986,115,708,571.55
222,2026-01-22 18:13:19.155080547,116,716,1041.15
223,2026-01-01 19:34:06.784816248,116,718,1221.82
224,2025-11-26 13:04:10.355956211,117,721,82.72
225,2025-11-17 11:20:38.767780359,117,722,73.72
226,2025-12-19 10:30:32.142350674,117,723,225.47
227,2026-01-19 16:19:50.557429091,120,740,194.59
228,2026-01-25 00:00:14.181102570,120,741,619.92
229,2026-01-22 04:09:51.320211285,120,743,523.33
230,2025-12-11 17:47:12.163493258,121,749,297.03
231,2025-12-03 23:23:09.889308140,121,751,74.65
232,2025-11-19 13:22:19.292384461,122,753,165.5
233,2025-12-11 12:28:38.137557172,122,757,524.79
234,2026-01-27 13:50:09.035012484,122,758,89.53
235,2025-10-31 17:19:33.760454635,122,759,327.28
236,2025-12-22 21:27:35.514332005,122,760,137.85
237,2026-01-11 21:46:09.001577990,122,761,115.34
238,2025-12-13 10:33:00.957917437,123,762,388.29
239,2026-01-03 14:49:40.703682687,123,765,154.1
240,2026-01-26 05:34:46.541562758,124,770,396.5
241,2026-01-26 13:09:19.465371847,125,773,42.24
242,2025-12-27 17:36:44.740239080,125,777,4235.32
243,2026-01-17 13:39:48.823490633,126,778,1875.87
244,2025-12-29 04:44:48.399887216,126,781,118.57
245,2025-12-12 20:13:53.209118242,127,784,240.09
246,2025-12-30 01:38:42.966818518,127,785,121.2
247,2025-12-28 13:37:35.353263948,128,788,293.93
248,2025-12-09 22:39:01.749433249,128,789,246.85
249,2025-10-25 17:59:04.037994124,128,791,49.61
250,2025-11-04 07:57:25.958303823,130,797,714.48
251,2025-11-26 20:05:04.688185549,130,798,47.19
252,2025-12-12 20:52:29.238967996,130,800,59.34
253,2025-12-16 07:08:35.128657431,132,812,595.36
254,2025-10-15 13:13:18.474751147,132,813,1469.14
255,2026-01-08 18:00:31.357979136,133,820,4575.6
256,2026-01-20 14:56:04.920433217,133,821,73.59
257,2026-01-23 11:19:08.105995888,134,824,93.97
258,2025-12-24 08:39:53.391472761,134,826,404.6
259,2025-12-07 03:31:28.905008114,135,829,248.38
260,2025-10-27 10:39:30.489145043,135,831,255.67
261,2026-01-27 07:52:13.263180505,136,838,468.23
262,2026-01-23 22:15:15.292188731,136,840,22.95
263,2026-01-18 16:16:02.135664841,137,846,38.36
264,2026-01-11 04:51:35.354434453,137,847,83.42
265,2025-11-27 02:00:58.632781279,138,848,350.16
266,2026-01-01 02:32:23.609225158,139,849,251.64
267,2025-11-06 03:36:52.384479400,140,854,1345.26
268,2026-01-23 12:00:13.342639651,144,864,54.1
269,2025-11-21 02:19:37.924627332,145,867,257.03
270,2026-01-01 07:00:00.829306822,147,875,179.78
271,2025-10-23 03:24:49.916090443,147,876,284.03
272,2026-01-22 08:15:32.835806097,148,884,751.93
273,2026-01-05 16:56:48.064901391,148,887,69.53
274,2026-01-06 12:05:42.771747203,149,888,799.2
275,2025-11-01 10:36:10.084814359,150,897,58.98
276,2025-12-10 21:52:19.096681985,151,902,135.93
277,2026-01-05 04:42:05.606507748,152,906,194.35
278,2025-11-24 22:06:35.861837928,152,907,247.39
279,2026-01-28 05:06:04.876358225,154,915,190.57
280,2026-01-28 04:42:05.553683763,154,918,21.3
281,2026-01-28 06:32:01.443900928,154,919,40.02
282,2026-01-27 20:58:27.876665330,154,922,302.06
283,2026-01-22 07:05:30.486969683,155,923,56.08
284,2025-12-09 09:49:35.452416938,156,932,547.27
285,2026-01-22 14:17:49.693274871,157,936,475.5
286,2026-01-08 10:32:33.206038896,157,938,333.14
287,2026-01-13 06:33:01.662351156,159,945,118.81
288,2026-01-14 17:14:32.242343347,159,947,130.38
289,2026-01-16 12:25:16.063072384,160,950,261.68
290,2025-12-21 20:04:31.458303294,160,953,32.31
291,2026-01-14 17:11:39.565568423,160,956,83.66
292,2025-12-31 07:32:15.009662567,160,958,116.09
293,2026-01-17 22:36:24.302172166,161,959,145.4
294,2026-01-15 08:33:35.369663717,161,960,276.31
295,2026-01-23 23:19:25.063890400,161,963,410.56
296,2026-01-17 20:01:49.704263787,162,964,60.81
297,2026-01-10 04:13:47.012187525,162,965,1307.65
298,2026-01-20 11:16:29.895234478,163,967,73.96
299,2026-01-13 16:28:14.175648965,163,968,49.62
300,2026-01-28 10:58:11.235541837,163,969,303.27
301,2026-01-14 00:08:40.947319329,163,970,146.89
302,2025-12-15 19:00:23.776791797,165,977,654.04
303,2026-01-27 15:55:03.220896407,166,983,320.31
304,2026-01-21 18:23:23.738960454,166,984,449.5
305,2026-01-10 18:34:46.155652616,166,989,94.92
306,2026-01-16 06:02:29.748542303,167,992,214.27
307,2026-01-12 02:38:40.658522540,167,993,345.31
308,2026-01-16 13:28:25.345214285,167,995,142.08
309,2026-01-08 21:03:12.544342255,168,996,219.57
310,2026-01-19 07:04:28.895962323,168,999,1008.68
311,2025-12-04 19:58:08.636011928,168,1000,407.42
312,2025-12-01 10:19:59.821395090,170,1006,115.77
313,2026-01-06 02:11:24.867315029,170,1010,535.55
314,2025-10-26 16:11:51.562415383,171,1012,50.51
315,2026-01-19 08:58:48.810383478,171,1014,385.23
316,2025-12-18 09:21:50.476171522,172,1016,857.29
317,2025-11-03 19:41:15.333003752,172,1018,838.0
318,2025-10-20 19:39:28.239442152,172,1019,546.21
319,2026-01-11 01:08:24.944335891,173,1023,1616.89
320,2026-01-03 01:56:37.166275198,173,1027,122.18
321,2025-11-13 20:29:29.439875617,175,1036,274.34
322,2026-01-19 19:52:49.068039825,176,1038,615.52
323,2026-01-21 10:17:38.977241576,176,1039,204.65
324,2026-01-17 16:59:50.122389147,176,1041,108.54
325,2026-01-18 21:28:16.891781672,176,1042,313.98
326,2025-10-31 18:13:49.381186783,178,1050,47.81
327,2025-10-16 08:54:07.925567177,180,1062,60.18
328,2026-01-15 13:21:58.723131458,181,1063,292.3
329,2026-01-20 03:28:34.770390636,181,1066,201.1
330,2026-01-11 20:20:43.525542605,182,1072,457.86
331,2025-11-21 23:17:07.543910564,184,1085,61.63
332,2025-12-27 22:43:25.330026551,185,1086,78.31
333,2026-01-05 07:17:21.212101010,185,1088,1119.0
334,2026-01-15 08:01:44.552192385,186,1089,55.97
335,2026-01-23 21:29:37.906447688,186,1092,169.79
336,2026-01-11 16:53:08.516651637,186,1093,177.43
337,2026-01-22 11:13:19.373705582,186,1096,208.32
338,2026-01-12 22:41:04.944667205,187,1097,687.98
339,2026-01-21 13:12:59.604200956,187,1098,46.65
340,2026-01-12 16:23:17.960941814,187,1100,89.2
341,2026-01-22 19:52:24.311642758,188,1103,393.75
342,2026-01-23 05:40:52.010015614,188,1105,393.79
343,2026-01-21 21:10:28.891163698,188,1106,117.6
344,2026-01-22 14:14:27.750874406,188,1108,564.53
345,2025-12-15 12:43:01.178998817,189,1110,233.53
346,2025-12-22 23:51:57.984784290,189,1112,34.78
347,2026-01-28 22:31:08.883437700,189,1113,115.9
348,2026-01-09 11:04:04.754134913,189,1114,227.38
