trade_id,trade_ts,user_id,session_id,notional_usd,fee_usd
1,2026-01-13 15:06:57.634278960,1,5,31.81,0.0573
2,2026-01-19 16:15:07.171755054,3,14,382.82,0.6891
3,2025-12-28 20:30:43.508992188,4,18,59.24,0.1066
4,2026-01-12 22:44:41.538810032,6,36,23.85,0.0429
5,2026-01-17 19:35:45.164286564,6,40,1119.83,2.0157
6,2025-12-05 20:13:28.071607544,7,43,145.53,0.262
7,2025-12-22 05:22:10.011260258,7,44,76.91,0.1384
8,2025-12-17 18:20:24.563330668,8,49,65.43,0.1178
9,2026-01-05 08:15:55.510106048,10,56,461.67,0.831
10,2026-01-18 15:17:37.878127287,11,61,254.08,0.4573
11,2026-01-26 00:07:41.317333841,11,63,74.9,0.1348
12,2026-01-15 09:33:01.681804079,12,69,310.83,0.5595
13,2025-12-20 09:38:34.898231720,12,71,32.78,0.059
14,2025-12-28 16:28:55.793337600,12,75,151.5,0.2727
15,2026-01-09 12:21:46.513295457,13,76,362.93,0.6533
16,2026-01-26 23:07:02.320184814,15,84,534.39,0.9619
17,2026-01-19 22:48:05.066579061,16,92,102.3,0.1841
18,2026-01-22 06:07:14.430876366,17,99,220.38,0.3967
19,2025-12-10 15:56:22.038281726,18,106,12.39,0.0223
20,2025-11-29 19:18:42.756895445,18,107,551.2,0.9922
21,2025-12-08 03:34:49.331322895,18,109,353.84,0.6369
22,2025-12-06 08:34:55.327529682,18,111,105.43,0.1898
23,2025-11-01 02:03:20.900377566,18,112,145.08,0.2611
24,2025-12-02 07:51:31.955399345,18,113,93.44,0.1682
25,2025-12-17 20:47:46.483436026,20,119,186.67,0.336
26,2025-12-27 04:57:56.333381187,22,125,77.31,0.1392
27,2025-12-13 03:41:56.707556388,22,129,70.87,0.1276
28,2025-11-26 12:24:54.676678668,26,144,38.82,0.0699
29,2026-01-21 13:04:35.333146182,26,149,692.61,1.2467
30,2025-12-09 08:57:15.782550007,27,152,20.77,0.0374
31,2026-01-06 12:51:37.485296536,27,155,26.72,0.0481
32,2025-12-01 00:34:25.688050058,27,159,14.34,0.0258
33,2025-11-22 17:41:46.322123014,27,160,9.5,0.0171
34,2025-12-23 16:40:42.479182707,28,170,251.92,0.4535
35,2026-01-25 00:59:09.451346572,29,176,469.47,0.845
36,2025-12-24 10:25:43.725307795,30,182,153.72,0.2767
37,2026-01-26 07:24:05.235362904,31,188,110.26,0.1985
38,2025-12-03 20:22:40.720925987,33,197,42.05,0.0757
39,2026-01-22 06:28:58.837380700,33,198,493.1,0.8876
40,2025-12-14 12:27:05.942393547,34,204,375.55,0.676
41,2025-11-11 00:24:03.090693234,34,209,232.22,0.418
42,2026-01-27 12:55:00.871562914,34,210,95.59,0.1721
43,2025-11-11 17:59:23.668598880,34,213,25.33,0.0456
44,2026-01-25 23:43:03.538978799,35,219,199.23,0.3586
45,2026-01-27 10:41:00.142205972,36,221,251.67,0.453
46,2026-01-03 11:25:17.797617939,38,234,15.32,0.0276
47,2026-01-03 02:29:35.507314646,38,237,77.78,0.14
48,2026-01-15 00:11:12.453937518,40,249,1956.48,3.5217
49,2025-12-21 01:13:50.780888380,40,250,705.47,1.2698
50,2026-01-21 16:17:56.216682761,42,262,143.22,0.2578
51,2026-01-15 19:04:26.041236994,43,269,204.3,0.3677
52,2026-01-26 05:26:25.572418918,43,271,499.89,0.8998
53,2025-11-03 04:37:31.918136634,44,279,92.15,0.1659
54,2026-01-17 04:30:42.228586496,45,283,54.21,0.0976
